config_id,side,lookback_col,top_pct,rebalance_days,sharpe,sortino,max_dd,calmar,cagr,turnover,error
lo_084,long_short,mom_252d,0.3,5,0.041024856441983386,0.036473973940805836,-0.49496601077650926,-0.010161509664929626,-0.00502960190231716,0.07346851498972086,
lo_085,long_short,mom_252d,0.3,10,0.08762626404113434,0.0786699031339365,-0.44819538026095074,0.004437961240861222,0.0019890737259311564,0.05189961061545867,
lo_086,long_short,mom_252d,0.3,21,0.10514031687074563,0.0947578691288373,-0.4654687764979314,0.010031517726275656,0.00466935828246684,0.035813382731244806,
lo_087,long_short,mom_252d,0.3,42,0.17577123187340984,0.15791504053221558,-0.4351091775332222,0.03435655311582833,0.014948851569104527,0.025255887969841663,
lo_088,long_short,mom_252d,0.3,63,0.15831818884314178,0.14369411999236964,-0.31673184801782805,0.03892118218198844,0.01232757795953976,0.020919148920502593,
lo_089,long_short,mom_252d,0.3,126,0.1830245356601241,0.16619186808716627,-0.3655722316077348,0.04162408652411735,0.01521661019925502,0.014857551125403679,
lo_090,long_only,mom_63d,0.05,5,1.0293203791302217,0.9640544810099405,-0.3338946984329244,0.6893950257868587,0.23018534423626136,0.11374512765817113,
lo_091,long_only,mom_63d,0.05,10,1.0911749867414178,1.031493832947664,-0.32099005837004424,0.7786731479376396,0.24994633920768905,0.0792377420671735,
lo_092,long_only,mom_63d,0.05,21,1.1376844910168047,1.0700746838997062,-0.34251239622819807,0.7862692188501276,0.26930695422883066,0.052720802299397615,
lo_093,long_only,mom_63d,0.05,42,1.1408445385541577,1.0733059843011683,-0.3897947230012623,0.7064564645026571,0.2753730018932643,0.03501198615579887,
lo_094,long_only,mom_63d,0.05,63,1.0921536138310817,1.0239699254214003,-0.43970766753771695,0.6260586415060333,0.2752827849984496,0.027009446146569895,
lo_095,long_only,mom_63d,0.05,126,1.080887844445771,1.0188749297301596,-0.43970766753771673,0.6303158291008394,0.2771547030260322,0.013480487306574264,
lo_096,long_only,mom_63d,0.1,5,0.9861866659134704,0.9216746143572863,-0.3255813813841655,0.5916338047034188,0.19262495140890867,0.1027758038577116,
lo_097,long_only,mom_63d,0.1,10,0.975412973273938,0.9102496390035507,-0.3457483110583476,0.5581150007832988,0.1929673188971539,0.0728771808272775,
lo_098,long_only,mom_63d,0.1,21,1.0538567392787046,0.980783527160817,-0.3667753511061135,0.5860229997938345,0.21493879150564155,0.04904196907202927,
lo_099,long_only,mom_63d,0.1,42,0.9571849613099367,0.8888687660638419,-0.40833129369031973,0.4792898808003196,0.19570905707987363,0.03349578802682297,
lo_100,long_only,mom_63d,0.1,63,1.0542438918584272,0.9906190477865388,-0.41367494781353464,0.5548605634364076,0.22953191462334432,0.02596631709373769,
lo_101,long_only,mom_63d,0.1,126,1.0075811205784113,0.9511929412716822,-0.41367494781353475,0.5430911123648564,0.2246631875655265,0.013059113961202852,
lo_102,long_only,mom_63d,0.15,5,0.9257264385125861,0.8645451479528804,-0.33639158645106093,0.5045873336338721,0.169738933664209,0.09460129465265842,
lo_103,long_only,mom_63d,0.15,10,0.9422672047474276,0.8835797331904778,-0.33633146809330905,0.519828394455389,0.17483464706376872,0.06709178397132294,
lo_104,long_only,mom_63d,0.15,21,0.9858778567166097,0.9249981703754483,-0.3528924801821993,0.5295487546544391,0.18687377340739997,0.046076332382758045,
lo_105,long_only,mom_63d,0.15,42,0.9156926378836225,0.8484181898752141,-0.4101688102456401,0.4277968058967325,0.17546890690154782,0.03183194774581732,
lo_106,long_only,mom_63d,0.15,63,0.9880799932537797,0.9273731385732702,-0.4169074313156753,0.4820595883552258,0.200974224722269,0.025026801557602472,
lo_107,long_only,mom_63d,0.15,126,0.965683598790547,0.9125285143014797,-0.41690743131567565,0.4888174769133218,0.20379163868214256,0.012674175554181218,
lo_108,long_only,mom_63d,0.2,5,0.9239895268202502,0.8673310965432867,-0.33873373861139877,0.4844369294624424,0.16409513223823957,0.08678164075719871,
lo_109,long_only,mom_63d,0.2,10,0.9420475857503889,0.8851595557483687,-0.34072053676113634,0.4966485712591264,0.16921836778106103,0.062035524184218906,
lo_110,long_only,mom_63d,0.2,21,0.9568849364049872,0.8938626174115306,-0.3619854615133583,0.4819853087897991,0.17447167444493394,0.04294144042991097,
